Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T00:00:00.000000+0000,166.93,262.7,37.42,13.3,50.71,,,1.52,19.73,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T00:15:00.000000+0000,155.64,261.79,40.73,11.7,52.43,,,1.64,19.68,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T00:30:00.000000+0000,159.54,258.2,38.87,10.18,49.05,,,1.58,19.81,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T00:45:00.000000+0000,160.52,265.76,37.81,12.16,49.95,,,1.41,19.74,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T01:00:00.000000+0000,150.39,268.21,36.66,11.46,48.12,,,1.43,19.65,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T01:15:00.000000+0000,135.34,267.8,34.6,9.54,44.11,,,1.6,19.77,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T01:30:00.000000+0000,131.48,258.42,35.66,11.3,46.98,,,1.6,19.58,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T01:45:00.000000+0000,142.75,254.94,32.39,11.58,43.96,,,1.54,19.57,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T02:00:00.000000+0000,161.78,247.15,34.4,11.54,45.94,,,1.52,19.55,,,,,,,,,,,,0.0,,,
site_106,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",2024-01-01T02:15:00.000000+0000,179.72,237.58,34.45,9.89,44.3,,,1.5,19.53,,,,,,,,,,,,0.0,,,
